,time,Open,High,Low,Close,Volume,spread,real_volume
0,1751630400,144.332,144.437,144.267,144.413,8522,13,0
1,1751644800,144.414,144.56,144.377,144.49,8431,13,0
2,1751659200,144.489,144.574,144.408,144.416,9610,13,0
3,1751846400,144.378,144.624,144.286,144.344,7325,13,0
4,1751860800,144.345,144.989,144.214,144.976,11539,13,0
5,1751875200,144.976,145.335,144.933,145.327,14180,13,0
6,1751889600,145.326,145.636,145.266,145.583,12712,13,0
7,1751904000,145.582,146.137,145.565,146.111,16982,13,0
8,1751918400,146.11,146.231,145.987,145.992,11670,13,0
9,1751932800,145.995,146.199,145.825,146.151,8986,13,0
10,1751947200,146.151,146.435,145.874,145.988,11389,13,0
11,1751961600,145.989,146.272,145.938,146.181,13926,13,0
12,1751976000,146.187,146.68,146.048,146.641,13098,13,0
13,1751990400,146.641,146.967,146.624,146.737,17718,13,0
14,1752004800,146.738,146.799,146.509,146.54,12042,13,0
15,1752019200,146.541,146.9,146.498,146.782,6997,13,0
16,1752033600,146.782,147.17,146.728,147.031,11917,13,0
17,1752048000,147.033,147.057,146.587,146.668,13453,13,0
18,1752062400,146.668,146.772,146.46,146.478,12862,13,0
19,1752076800,146.477,146.556,146.262,146.404,17083,13,0
20,1752091200,146.408,146.478,146.242,146.281,10314,13,0
21,1752105600,146.311,146.333,145.747,145.808,7657,13,0
22,1752120000,145.81,146.401,145.754,146.21,9389,13,0
23,1752134400,146.209,146.454,146.056,146.345,12673,13,0
24,1752148800,146.345,146.535,146.077,146.43,11926,13,0
25,1752163200,146.429,146.777,146.341,146.455,17632,13,0
26,1752177600,146.453,146.47,146.16,146.23,10892,13,0
27,1752192000,146.223,146.633,146.127,146.547,8434,13,0
28,1752206400,146.547,147.176,146.514,147.072,12129,13,0
29,1752220800,147.072,147.102,146.713,146.977,14060,13,0
30,1752235200,146.976,147.085,146.76,146.964,13340,13,0
31,1752249600,146.963,147.514,146.896,147.36,16658,13,0
32,1752264000,147.36,147.471,147.31,147.402,8505,13,0
33,1752451200,147.112,147.564,146.916,146.943,10329,13,0
34,1752465600,146.943,147.435,146.848,147.367,11794,13,0
35,1752480000,147.367,147.474,147.168,147.31,13926,13,0
36,1752494400,147.315,147.456,147.147,147.381,12396,13,0
37,1752508800,147.382,147.749,147.303,147.705,16869,13,0
38,1752523200,147.707,147.771,147.664,147.679,8394,13,0
39,1752537600,147.666,147.88,147.555,147.577,5967,13,0
