,Unnamed: 0.1,time,Open,High,Low,Close,Volume,spread,real_volume
0,395,1750449600,0.81657,0.81828,0.81616,0.81771,6311,19,0
1,396,1750636800,0.817,0.81937,0.81609,0.81855,9075,19,0
2,397,1750651200,0.81852,0.81935,0.81706,0.81804,10383,19,0
3,398,1750665600,0.81803,0.8182,0.81574,0.81784,12221,19,0
4,399,1750680000,0.81785,0.81928,0.81717,0.81817,12533,19,0
5,400,1750694400,0.81818,0.81866,0.81213,0.81299,19184,19,0
6,401,1750708800,0.81299,0.81343,0.81141,0.81182,10521,19,0
7,402,1750723200,0.81141,0.81299,0.81133,0.81203,7407,4,0
8,403,1750737600,0.81203,0.81293,0.81113,0.81172,6740,19,0
9,404,1750752000,0.81172,0.81247,0.81036,0.81125,13760,19,0
10,405,1750766400,0.81127,0.81132,0.8078,0.80816,10438,19,0
11,406,1750780800,0.80815,0.80938,0.80389,0.80405,16892,19,0
12,407,1750795200,0.80404,0.80544,0.80337,0.80491,7129,19,0
13,408,1750809600,0.8044,0.80554,0.80428,0.80446,5968,19,0
14,409,1750824000,0.80446,0.8055,0.80416,0.80501,5975,19,0
15,410,1750838400,0.80501,0.80577,0.80392,0.80533,8690,19,0
16,411,1750852800,0.80533,0.80794,0.80524,0.80706,9370,19,0
17,412,1750867200,0.80706,0.80739,0.80466,0.80507,10582,19,0
18,413,1750881600,0.80507,0.80566,0.80389,0.80409,6182,19,0
19,414,1750896000,0.80365,0.80477,0.80311,0.80344,4553,19,0
20,415,1750910400,0.80342,0.80427,0.80226,0.80353,6071,19,0
21,416,1750924800,0.80354,0.80406,0.79793,0.7994,11403,19,0
22,417,1750939200,0.7994,0.80203,0.79928,0.80006,12297,19,0
23,418,1750953600,0.80006,0.80111,0.79771,0.79885,15692,19,0
24,419,1750968000,0.79885,0.80046,0.79854,0.7992,8397,19,0
25,420,1750982400,0.79876,0.80143,0.79874,0.80105,4774,19,0
26,421,1750996800,0.80106,0.80144,0.79992,0.80126,5683,19,0
27,422,1751011200,0.80123,0.80168,0.79769,0.79829,9141,19,0
28,423,1751025600,0.79828,0.79954,0.79598,0.79625,10925,19,0
29,424,1751040000,0.79625,0.80067,0.79566,0.79916,14418,19,0
30,425,1751054400,0.79916,0.8006,0.79843,0.79856,8219,19,0
31,426,1751241600,0.79832,0.79935,0.79791,0.79896,5508,19,0
32,427,1751256000,0.79896,0.79923,0.79805,0.79823,7379,19,0
33,428,1751270400,0.79822,0.79924,0.79717,0.79749,10627,19,0
34,429,1751284800,0.79749,0.79817,0.79614,0.79795,9404,19,0
35,430,1751299200,0.79795,0.79815,0.79371,0.79408,15136,19,0
36,431,1751313600,0.79407,0.79407,0.79223,0.79288,7788,19,0
37,432,1751328000,0.79279,0.79332,0.79176,0.79181,3083,19,0
38,433,1751342400,0.7918,0.79301,0.7914,0.79235,5424,19,0
39,434,1751356800,0.79233,0.79268,0.78879,0.78959,10854,19,0
