,time,Open,High,Low,Close,Volume,spread,real_volume
0,1751256000,198.311,198.351,197.559,197.608,22628,31,0
1,1751270400,197.61,197.685,197.198,197.414,28640,30,0
2,1751284800,197.412,197.862,197.363,197.804,22424,30,0
3,1751299200,197.804,197.997,197.432,197.777,34735,25,0
4,1751313600,197.777,197.863,197.578,197.694,20182,25,0
5,1751328000,197.686,197.729,197.224,197.258,12543,25,0
6,1751342400,197.259,197.741,197.17,197.518,19082,30,0
7,1751356800,197.517,197.526,196.775,197.012,29495,26,0
8,1751371200,197.004,197.044,196.263,196.582,31377,30,0
9,1751385600,196.582,197.281,196.39,197.199,40133,25,0
10,1751400000,197.204,197.544,197.012,197.05,17226,30,0
11,1751414400,197.011,197.458,196.955,197.238,12017,31,0
12,1751428800,197.23,197.418,197.18,197.291,19258,30,0
13,1751443200,197.287,197.535,197.03,197.194,23885,30,0
14,1751457600,197.195,197.511,195.465,195.761,31486,25,0
15,1751472000,195.761,195.979,195.343,195.91,40265,25,0
16,1751486400,195.903,196.008,195.723,195.775,17373,30,0
17,1751500800,195.823,196.189,195.685,195.874,6225,30,0
18,1751544000,196.516,197.425,196.229,197.411,27277,25,0
19,1751558400,197.407,198.083,197.377,197.99,37666,25,0
20,1751572800,197.987,198.025,197.808,197.844,7311,27,0
21,1751587200,197.844,197.887,197.469,197.562,10011,2,0
22,1751601600,197.562,197.648,197.562,197.631,428,3,0
23,1751616000,197.282,197.298,197.119,197.214,10749,10,0
24,1751630400,197.213,197.238,196.894,196.913,20378,25,0
25,1751644800,196.913,197.25,196.913,197.184,17720,30,0
26,1751659200,197.184,197.379,196.955,197.117,35855,26,0
27,1751846400,197.042,197.381,196.918,196.988,13357,28,0
28,1751860800,196.987,197.442,196.765,197.412,19775,29,0
29,1751875200,197.412,197.59,197.181,197.355,24956,26,0
30,1751889600,197.352,198.298,197.29,198.244,22715,25,0
31,1751904000,198.242,198.989,198.214,198.64,30723,25,0
32,1751918400,198.64,198.975,198.543,198.563,21057,30,0
33,1751932800,198.559,199.221,198.491,199.178,14716,25,0
34,1751947200,199.179,199.461,198.873,199.002,21716,25,0
35,1751961600,199.001,199.422,198.944,198.982,25937,25,0
36,1751976000,198.986,199.114,198.68,199.107,22801,30,0
37,1751990400,199.107,199.306,198.66,199.243,33408,25,0
38,1752004800,199.246,199.423,199.089,199.102,17717,30,0
39,1752019200,199.084,199.539,198.917,199.421,11030,29,0
