,Unnamed: 0,time,Open,High,Low,Close,Volume,spread,real_volume
0,385,1750305600,1.83741,1.83786,1.83605,1.83774,15608,60,0
1,386,1750320000,1.83783,1.84025,1.8366,1.8401,19534,59,0
2,387,1750334400,1.84011,1.84378,1.83781,1.84331,18682,59,0
3,388,1750348800,1.84339,1.84611,1.84084,1.84289,16861,58,0
4,389,1750363200,1.8429,1.84585,1.8428,1.84413,9115,59,0
5,390,1750377600,1.8433,1.84641,1.84037,1.84629,10551,60,0
6,391,1750392000,1.84629,1.84771,1.84592,1.84721,15135,60,0
7,392,1750406400,1.84721,1.84833,1.84512,1.84745,17815,59,0
8,393,1750420800,1.84745,1.85233,1.84684,1.85183,17956,58,0
9,394,1750435200,1.85178,1.8528,1.84733,1.84909,23332,58,0
10,395,1750449600,1.84907,1.85003,1.84487,1.84554,13170,59,0
11,396,1750636800,1.84395,1.84659,1.83999,1.84542,16131,60,0
12,397,1750651200,1.84541,1.84818,1.84451,1.84468,18797,60,0
13,398,1750665600,1.84467,1.85054,1.84462,1.84797,21488,59,0
14,399,1750680000,1.84794,1.84834,1.84346,1.84534,22808,59,0
15,400,1750694400,1.84534,1.85821,1.8446,1.8576,29120,58,0
16,401,1750708800,1.8576,1.85907,1.85555,1.85643,17531,59,0
17,402,1750723200,1.85653,1.85996,1.85461,1.85959,13933,5,0
18,403,1750737600,1.8596,1.86152,1.85806,1.86054,15684,60,0
19,404,1750752000,1.86053,1.86539,1.86002,1.86511,21963,59,0
20,405,1750766400,1.86511,1.86802,1.86348,1.86386,17580,59,0
21,406,1750780800,1.86386,1.8679,1.8625,1.8674,24116,14,0
22,407,1750795200,1.86742,1.87035,1.86631,1.86811,11716,58,0
23,408,1750809600,1.86768,1.86875,1.86561,1.86838,8614,60,0
24,409,1750824000,1.8684,1.86999,1.86829,1.8695,13166,60,0
25,410,1750838400,1.86951,1.87095,1.86768,1.86891,17087,59,0
26,411,1750852800,1.86892,1.86942,1.8666,1.86772,17059,59,0
27,412,1750867200,1.86769,1.87401,1.86735,1.87356,20662,58,0
28,413,1750881600,1.87356,1.87592,1.87281,1.87438,13760,59,0
29,414,1750896000,1.87477,1.87708,1.87156,1.87686,9098,60,0
30,415,1750910400,1.87685,1.87993,1.87615,1.87893,16817,60,0
31,416,1750924800,1.87895,1.88281,1.87842,1.88117,21577,59,0
32,417,1750939200,1.88117,1.88168,1.87372,1.87492,21459,59,0
33,418,1750953600,1.87492,1.87538,1.87089,1.87387,26117,59,0
34,419,1750968000,1.87387,1.8743,1.87035,1.87195,13369,59,0
35,420,1750982400,1.87185,1.87368,1.87059,1.87244,10973,61,0
36,421,1750996800,1.87241,1.87434,1.87207,1.87262,14816,61,0
37,422,1751011200,1.87264,1.87485,1.87181,1.87436,18524,59,0
38,423,1751025600,1.87438,1.87621,1.87253,1.87412,19519,59,0
39,424,1751040000,1.87415,1.87507,1.87073,1.87374,23121,59,0
